<DOC>	<DOC>+BDTAG
,	TUR10-0820240
suyu	TUR10-0000030
iyi	TUR10-0335340
çekiyor	TUR10-0879570
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Çeşni	TUR10-0880010
diye	TUR10-0211490
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Sadi	TUR10-0000000
artık	TUR10-0371210
kâh	TUR10-0281830
bir	TUR10-0105570
hoca	TUR10-0346830
,	TUR10-0820240
kâh	TUR10-0281830
bir	TUR10-0105570
çeteci	TUR10-0880070
kılığında	TUR10-0412110
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ortalık	TUR10-1110390
ağarırken	TUR10-1110390
bir	TUR10-0105570
arkadaşımla	TUR10-0045570
yorgun	TUR10-0860090
adımlarla	TUR10-0008440
konaktan	TUR10-0471260
çıktık	TUR10-0880110
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yeni	TUR10-0848680
evimizden	TUR10-0259060
çıkıp	TUR10-0880200
eski	TUR10-0288810
evimize	TUR10-0053840
taşındık	TUR10-0750170
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120760
dairede	TUR10-0427040
işler	TUR10-0384050
kolay	TUR10-0079300
çıkmaz	TUR10-0085500
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Uygunsuz	TUR10-0802510
dediğim	TUR10-1242470
vakalardan	TUR10-0267960
biri	TUR10-0106990
bir	TUR10-0105570
salon	TUR10-0661260
oyunu	TUR10-0630450
yüzünden	TUR10-1130440
çıkmıştır	TUR10-0220510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Borçlu	TUR10-0973470
çıkmak	TUR10-1243200
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Uzun	TUR10-0805370
,	TUR10-0820240
dik	TUR10-0828520
merdivenli	TUR10-0078560
bir	TUR10-0105570
yokuşu	TUR10-0858550
çıktık	TUR10-0880110
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Başkana	TUR10-0082350
çıkmak	TUR10-0880590
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Arsız	TUR10-0046970
ve	TUR10-0816400
aptal	TUR10-0294700
mahalle	TUR10-0517760
çocuğu	TUR10-0171690
rolüne	TUR10-1123960
çıkmıştı	TUR10-1123960
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Lağımdan	TUR10-0442610
pis	TUR10-0463070
kokular	TUR10-0467270
çıkıyor	TUR10-0880320
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kravatın	TUR10-0117070
boyası	TUR10-0115750
gömleğe	TUR10-0303370
çıktı	TUR10-0880350
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120760
kahveden	TUR10-0399670
sıkıldın	TUR10-0685860
,	TUR10-0820240
ötekine	TUR10-0203010
çıkarsın	TUR10-0056990
,	TUR10-0820240
anladın	TUR10-0037550
mı	TUR10-0558870
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bir	TUR10-0105570
ilçe	TUR10-0433960
belediye	TUR10-0090390
başkanı	TUR10-0082350
hepsinden	TUR10-0143690
açıkgöz	TUR10-0004460
çıktı	TUR10-0880210
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Fukaranın	TUR10-0934900
hem	TUR10-0337480
sağ	TUR10-0654920
bileği	TUR10-0102340
çıkmış	TUR10-0880620
hem	TUR10-0337480
davulu	TUR10-0185170
patlamıştı	TUR10-0618860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Maaş	TUR10-0518300
çıkmak	TUR10-0880210
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Erik	TUR10-1249790
çıkmış	TUR10-0220510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hava	TUR10-1046160
açılmış	TUR10-1046160
,	TUR10-0820240
ay	TUR10-0406930
çıkmıştı	TUR10-0306160
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Arabanın	TUR10-0520720
direksiyonu	TUR10-0208360
çıkmak	TUR10-0880620
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Aklı	TUR10-0019590
başında	TUR10-0019590
ama	TUR10-0031730
sabaha	TUR10-0651820
çıkamayacağına	TUR10-0085500
kalıbımı	TUR10-0100990
basarım	TUR10-0080020
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Çık	TUR10-0880480
bakalım	TUR10-0073050
paraları	TUR10-0613400
!	TUR10-0808050
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ağustos	TUR10-0014540
böceklerinin	TUR10-0014540
ninnileri	TUR10-0577270
,	TUR10-0820240
dızdızlarının	TUR10-0881000
ahengi	TUR10-0015060
sanki	TUR10-0663510
bu	TUR10-0120760
karanlık	TUR10-0417470
gölgelerde	TUR10-0302870
saklı	TUR10-0533190
haşeratı	TUR10-0331020
uyutuyordu	TUR10-1074940
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Dağlara	TUR10-0177470
kar	TUR10-0415040
düştü	TUR10-0881140
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Sen	TUR10-0676460
bu	TUR10-0120750
işin	TUR10-0384050
üstüne	TUR10-0810340
çok	TUR10-0172500
düştün	TUR10-0881190
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120760
resim	TUR10-0510390
buraya	TUR10-0124730
iyi	TUR10-0389010
düştü	TUR10-0881210
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bana	TUR10-0075770
arada	TUR10-0281830
bir	TUR10-0281830
bakkaldan	TUR10-0072590
tuz	TUR10-0791480
,	TUR10-0820240
limon	TUR10-0511700
almak	TUR10-0029370
düşüyor	TUR10-0881210
,	TUR10-0820240
o	TUR10-0583390
kadar	TUR10-0395910
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Mirastan	TUR10-0767150
ona	TUR10-0581710
bu	TUR10-0581710
ev	TUR10-0053840
düştü	TUR10-0881260
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kabine	TUR10-1065120
düştü	TUR10-1065120
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bir	TUR10-0105570
rastlantı	TUR10-0769000
sonucu	TUR10-0702760
aralarına	TUR10-0041290
düşmüştüm	TUR10-0881240
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yorgun	TUR10-0501140
düşmek	TUR10-0501140
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Düşmüş	TUR10-0008700
kadınları	TUR10-0086000
bu	TUR10-0120750
dönemin	TUR10-0144540
yazarlarının	TUR10-0556610
yücelterek	TUR10-0864650
duygudaşlıkla	TUR10-0246270
çizdiklerini	TUR10-0171400
görüyoruz	TUR10-0305590
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Frenklere	TUR10-0881670
mahsus	TUR10-0519180
,	TUR10-0820240
şen	TUR10-0575130
,	TUR10-0820240
latifeci	TUR10-0024670
bir	TUR10-0105570
ihtiyarla	TUR10-0364220
genç	TUR10-0291000
kadına	TUR10-0086000
doğru	TUR10-0213640
ilerledi	TUR10-0367710
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bizimkinin	TUR10-0110460
evde	TUR10-0053840
olmadığı	TUR10-0123800
bir	TUR10-0105570
zamana	TUR10-0108660
denk	TUR10-0883160
getirirsem	TUR10-0883160
çağıracağım	TUR10-0584360
,	TUR10-0820240
bakalım	TUR10-0073000
gelecek	TUR10-0055940
mi	TUR10-0544040
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Sağtöre	TUR10-0883240
,	TUR10-0820240
her	TUR10-0084000
zaman	TUR10-0084000
umutlu	TUR10-0799210
olmayı	TUR10-0821430
gerektirmez	TUR10-0897470
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Civanlığında	TUR10-0000000
senin	TUR10-0676460
de	TUR10-0994830
başından	TUR10-0050860
geçmiştir	TUR10-0288840
anacığım	TUR10-0034080
;	TUR10-0579400
aşkın	TUR10-0053850
ilacı	TUR10-0184510
vuslattır	TUR10-0883950
,	TUR10-0820240
anacığım	TUR10-0034080
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bütün	TUR10-0128460
ordunun	TUR10-0589990
kalbini	TUR10-0405470
Duatepe'den	TUR10-0000000
çıkan	TUR10-0162690
kurtuluş	TUR10-0494220
şulesi	TUR10-0884000
aydınlatmış	TUR10-1158670
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İçine	TUR10-0487570
paldır	TUR10-0611030
küldür	TUR10-0611580
yuvarlandığı	TUR10-0864500
bu	TUR10-0120750
curcunayı	TUR10-0143260
yadırgadı	TUR10-0884270
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Affınıza	TUR10-0884420
sığınarak	TUR10-0884420
malumatınızı	TUR10-0522600
da	TUR10-0178920
madamdan	TUR10-0515960
aldım	TUR10-0029370
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Gümrükten	TUR10-0314390
itibaren	TUR10-0387550
her	TUR10-0339330
rast	TUR10-1103020
geldiği	TUR10-1103020
adamla	TUR10-0932620
ahbap	TUR10-0884550
çıktı	TUR10-0884550
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İşin	TUR10-0384050
içinde	TUR10-0359150
olmanın	TUR10-0405220
verdiği	TUR10-0818450
rahatlıkla	TUR10-1142530
bol	TUR10-0112700
keseden	TUR10-0443330
ahkâm	TUR10-0884630
kesen	TUR10-0884630
akıl	TUR10-0018080
hocalarının	TUR10-0346830
eleştirilerine	TUR10-0242950
hedef	TUR10-0900150
olmayı	TUR10-0900150
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Böyle	TUR10-0120030
duru	TUR10-0225870
bir	TUR10-0105570
mantık	TUR10-0524890
karşısında	TUR10-0472950
akan	TUR10-0884770
sular	TUR10-0884770
duruyordu	TUR10-0884770
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İçeriğin	TUR10-0358470
nasıl	TUR10-0572510
aktarılacağına	TUR10-0022220
dikkat	TUR10-0204150
etmiş	TUR10-0204150
,	TUR10-0820240
dilin	TUR10-0512360
olanaklarını	TUR10-0371420
akarına	TUR10-0884790
bırakmıştır	TUR10-0884790
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Senden	TUR10-0676650
akıl	TUR10-0884820
alacak	TUR10-0884820
değilim	TUR10-0187890
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Duvar	TUR10-0226580
saatine	TUR10-0651590
bakmayı	TUR10-0072340
akıl	TUR10-0884880
ettiğinde	TUR10-0884880
ise	TUR10-1194520
zihni	TUR10-0103700
adamakıllı	TUR10-0007380
bulandı	TUR10-0968460
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Burada	TUR10-0124750
akıl	TUR10-0884900
hocalığı	TUR10-0884900
taslıyorum	TUR10-0884900
ama	TUR10-0031730
ben	TUR10-0092580
böyle	TUR10-0120030
akılsızlıkları	TUR10-0018500
çok	TUR10-1256850
yapıp	TUR10-0834530
birkaç	TUR10-0096000
kere	TUR10-0186930
sorunla	TUR10-0703660
karşılaştım	TUR10-0643060
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Mesut	TUR10-0000660
olmak	TUR10-0000660
için	TUR10-0359030
akıllı	TUR10-0884970
olmak	TUR10-0884970
kifayet	TUR10-0185940
eder	TUR10-0185940
,	TUR10-0820240
baht	TUR10-0071410
,	TUR10-0820240
talih	TUR10-0071410
bunlar	TUR10-0120750
boş	TUR10-0094650
şeydir	TUR10-0729470
!	TUR10-0808050
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ben	TUR10-0092580
kendi	TUR10-0440770
hesabıma	TUR10-0589680
bir	TUR10-0105940
parça	TUR10-0105940
Fransızca	TUR10-0279650
öğrenebilmek	TUR10-0227360
için	TUR10-0359030
akla	TUR10-0885080
karayı	TUR10-0885080
seçtim	TUR10-0885080
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ismarlama	TUR10-0354880
bir	TUR10-0105570
hükümdar	TUR10-0322890
soyu	TUR10-0704490
bulmak	TUR10-0123580
ve	TUR10-0816400
yaratmak	TUR10-0836050
pek	TUR10-0621150
akla	TUR10-0016780
sığacak	TUR10-1183240
bir	TUR10-0108650
yol	TUR10-0108650
görünmüyordu	TUR10-1186210
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Görüyorsunuz	TUR10-0305590
ki	TUR10-0459830
bu	TUR10-0120760
soyadı	TUR10-0925910
konusunda	TUR10-0679150
benim	TUR10-0092580
ağırdan	TUR10-0885160
alışım	TUR10-0885160
,	TUR10-0820240
bir	TUR10-0105570
tembellik	TUR10-0054330
değil	TUR10-0187890
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Dernekler	TUR10-0135490
,	TUR10-0820240
maddedeki	TUR10-0516040
genel	TUR10-0798880
sınırlamalara	TUR10-0161610
aykırı	TUR10-0061930
hareket	TUR10-0328160
edemeyecekleri	TUR10-0258520
gibi	TUR10-0297510
siyasi	TUR10-0632580
amaç	TUR10-0885210
güdemezler	TUR10-0885210
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ulan	TUR10-0798020
Mustafa	TUR10-0000000
,	TUR10-0820240
insanoğlu	TUR10-0932620
ana	TUR10-0885330
rahmine	TUR10-0885330
düşer	TUR10-0885330
de	TUR10-0994850
dokuz	TUR10-0215590
ay	TUR10-0058930
on	TUR10-0587410
gün	TUR10-0314950
sonra	TUR10-0565820
capcanlı	TUR10-0132970
fırlar	TUR10-0271470
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120760
kadını	TUR10-0086000
zaman	TUR10-0281830
zaman	TUR10-0281830
aptal	TUR10-0041090
yerine	TUR10-0364550
koymam	TUR10-0364550
,	TUR10-0820240
büyük	TUR10-0128850
aptallık	TUR10-0041190
galiba	TUR10-0037900
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bunlar	TUR10-0124640
arasında	TUR10-0041290
birkaç	TUR10-0096000
gazete	TUR10-0285360
ve	TUR10-0816400
dergi	TUR10-0127870
alanları	TUR10-0024100
hesaba	TUR10-0886370
katacak	TUR10-0886370
olursanız	TUR10-0123800
gazete	TUR10-0285360
ve	TUR10-0816400
dergi	TUR10-0127870
okuyucularının	TUR10-0584720
nispeti	TUR10-0735040
daha	TUR10-0995340
da	TUR10-0995340
aşağı	TUR10-0885620
düşer	TUR10-0885620
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İspanyol	TUR10-0380870
denizcisi	TUR10-0193840
hâlâ	TUR10-0178850
avaz	TUR10-0885730
avaz	TUR10-0885730
bağırıyordu	TUR10-0885730
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Sen	TUR10-0676460
avucunu	TUR10-0885750
yalarsın	TUR10-0885750
!	TUR10-0808050
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120760
fiyata	TUR10-1028260
verirsem	TUR10-1028260
baş	TUR10-0885840
bulmaz	TUR10-0885840
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Muhasebe	TUR10-0553640
ile	TUR10-0367360
defter	TUR10-0998270
tutma	TUR10-0998270
işlerini	TUR10-0264770
de	TUR10-0178920
üzerine	TUR10-1171720
aldığından	TUR10-1171720
milleti	TUR10-0545590
burnundan	TUR10-0886050
yakalamıştı	TUR10-0886050
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bugünden	TUR10-0886110
tezi	TUR10-0886110
yok	TUR10-0886110
,	TUR10-0820240
şimdi	TUR10-0241000
buradan	TUR10-0124760
çıkıp	TUR10-0880110
oraya	TUR10-0589890
gidiyorum	TUR10-0298980
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120760
kez	TUR10-0186930
gelen	TUR10-0185910
,	TUR10-0820240
burnu	TUR10-0886290
çenesine	TUR10-0886290
değmiş	TUR10-0886290
bir	TUR10-0105570
acuzeydi	TUR10-0003680
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hele	TUR10-0338200
onu	TUR10-0581470
bir	TUR10-0105570
elime	TUR10-0240850
geçireyim	TUR10-0288530
,	TUR10-0820240
görürsün	TUR10-0305590
,	TUR10-0820240
burnundan	TUR10-0886410
getireceğim	TUR10-0886410
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Madam	TUR10-0515970
,	TUR10-0820240
küçük	TUR10-0499630
bir	TUR10-0105570
çocuk	TUR10-0892320
gibi	TUR10-0892320
burnunu	TUR10-0886440
çekerek	TUR10-0886440
eliyle	TUR10-0815420
içerideki	TUR10-0358420
odayı	TUR10-0582130
gösteriyor	TUR10-0307160
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Tezek	TUR10-0772160
kokusu	TUR10-0467270
burnumun	TUR10-0125800
direğini	TUR10-0125800
kırmış	TUR10-0029600
,	TUR10-0820240
ciğerime	TUR10-0140190
işlemişti	TUR10-0385750
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Nabi	TUR10-0000000
Efendi	TUR10-0098320
,	TUR10-0820240
merdivenleri	TUR10-0951300
yorgun	TUR10-0860090
yorgun	TUR10-0860090
çıkarken	TUR10-0056990
sofada	TUR10-0325660
karısıyla	TUR10-0644350
burun	TUR10-0886570
buruna	TUR10-0886570
geldi	TUR10-0886570
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ne	TUR10-0289550
var	TUR10-0289550
ki	TUR10-0289550
Ateşoğlu	TUR10-0000000
dümendeydi	TUR10-0228980
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Baba	TUR10-0066140
daima	TUR10-0084000
boğazına	TUR10-0111390
kadar	TUR10-0111390
borç	TUR10-0113700
içinde	TUR10-0359160
yaşar	TUR10-0839560
,	TUR10-0820240
müsrif	TUR10-0669440
,	TUR10-0820240
batakçı	TUR10-0084530
bir	TUR10-0105570
memurdu	TUR10-0386890
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Öte	TUR10-0606460
yandan	TUR10-0606460
Osman	TUR10-0000000
da	TUR10-0178920
canı	TUR10-0887010
burnundan	TUR10-0887010
çıkarak	TUR10-0887010
'	TUR10-0759880
karışma	TUR10-0370430
,	TUR10-0820240
hırsını	TUR10-0342200
alsın	TUR10-0029300
,	TUR10-0820240
anne	TUR10-0813510
!	TUR10-0808050
'	TUR10-0759880
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120760
konularda	TUR10-0679150
yeni	TUR10-0848690
kuşağın	TUR10-0496320
yanında	TUR10-0831780
her	TUR10-0084000
zaman	TUR10-0084000
cahil	TUR10-0887040
kalmaya	TUR10-0887040
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Umumi	TUR10-0798880
kütüphane	TUR10-0464160
,	TUR10-0820240
ilmin	TUR10-0103020
,	TUR10-0820240
edebiyatın	TUR10-0234090
her	TUR10-0339330
şubesine	TUR10-0734060
ait	TUR10-0016590
kitapları	TUR10-0834290
cami	TUR10-0887140
olmak	TUR10-0887140
lazım	TUR10-0293150
gelir	TUR10-0289940
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Herkes	TUR10-0545590
can	TUR10-0131360
derdinde	TUR10-0756190
,	TUR10-0820240
ben	TUR10-0092580
de	TUR10-0178920
Şahin'in	TUR10-0000000
ardına	TUR10-0740240
düşmüşüm	TUR10-0740240
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Fakat	TUR10-0031730
o	TUR10-0581470
,	TUR10-0820240
bu	TUR10-0120760
gece	TUR10-0793130
sahiden	TUR10-0656710
canavar	TUR10-0887340
kesilmiş	TUR10-0887340
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Zeki	TUR10-0872160
bakışı	TUR10-1242890
,	TUR10-0820240
hınzır	TUR10-0111030
nükteleriyle	TUR10-0254420
beni	TUR10-0092580
canevinden	TUR10-0887370
vurmaktan	TUR10-0887370
geri	TUR10-1031140
kalmadı	TUR10-1031140
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yufka	TUR10-0861740
,	TUR10-0820240
dedim	TUR10-1242470
de	TUR10-0178920
canım	TUR10-0131390
bir	TUR10-0105570
ıspanaklı	TUR10-0355050
börek	TUR10-0355050
çekti	TUR10-0089100
ki	TUR10-0459900
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Şehre	TUR10-0441470
ineceğiz	TUR10-0123610
,	TUR10-0820240
canı	TUR10-0131390
dans	TUR10-0183300
etmek	TUR10-0183300
istiyormuş	TUR10-0048420
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bize	TUR10-0110450
soluk	TUR10-1105180
aldırmaz	TUR10-1105180
,	TUR10-0820240
canımızı	TUR10-0131390
burnumuzdan	TUR10-0118470
getirir	TUR10-0294860
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Üniversiteyi	TUR10-0808010
bitirince	TUR10-0742490
isteğimi	TUR10-0364720
babama	TUR10-0066140
açtım	TUR10-0114910
,	TUR10-0820240
önce	TUR10-0602850
biraz	TUR10-0105940
karşı	TUR10-1063550
çıkar	TUR10-1063550
gibi	TUR10-0221670
oldu	TUR10-0221670
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Dünyayı	TUR10-0229320
bir	TUR10-0105570
tüketim	TUR10-0792320
çılgınlığına	TUR10-0164260
itip	TUR10-0717370
ceplerini	TUR10-0887810
doldurmuşlardı	TUR10-0887810
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kafamın	TUR10-0397550
çatlaklığı	TUR10-0154040
yüzünden	TUR10-1130440
bir	TUR10-0105570
anda	TUR10-1147380
orasını	TUR10-0589860
zindana	TUR10-0876470
,	TUR10-0820240
cehenneme	TUR10-0887880
çevirdim	TUR10-0887880
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Böyle	TUR10-0120030
sabit	TUR10-1202720
bir	TUR10-0105570
görüş	TUR10-0306660
tarzı	TUR10-0306660
,	TUR10-0820240
fikir	TUR10-0230800
ve	TUR10-0816400
hayali	TUR10-0264250
bir	TUR10-0105570
cendereye	TUR10-0887980
sokmak	TUR10-0887980
demektir	TUR10-0522900
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Avusturyalılara	TUR10-0058830
karşı	TUR10-0472950
Makedonya'da	TUR10-1228210
cephe	TUR10-0888040
açarak	TUR10-0888040
Selanik'e	TUR10-0000000
otuz	TUR10-0595150
bin	TUR10-0104830
asker	TUR10-0160340
çıkardılar	TUR10-0941890
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Padişahlardan	TUR10-0322890
birinin	TUR10-0106990
torunu	TUR10-0783900
çıkageldi	TUR10-0162660
,	TUR10-0820240
yarı	TUR10-0576340
ümmi	TUR10-0807760
bir	TUR10-0105570
adamla	TUR10-0932620
cerre	TUR10-0888120
çıkmıştı	TUR10-0888120
