<DOC>	<DOC>+BDTAG
vapura	TUR10-0813860
,	TUR10-0820240
şehre	TUR10-0441470
insem	TUR10-0372300
diyorum	TUR10-0191150
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Birinci	TUR10-0107490
sınıfı	TUR10-0687090
atladı	TUR10-0056240
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Anatomi	TUR10-0035680
atlası	TUR10-0056410
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Atletik	TUR10-0056590
oyunlar	TUR10-0597170
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kadınlar	TUR10-0086000
çocuklarını	TUR10-0220860
bayram	TUR10-0087040
yerinde	TUR10-0024100
bir	TUR10-0105580
salıncağa	TUR10-0660190
,	TUR10-0820240
bir	TUR10-0105580
atlıkarıncaya	TUR10-0056650
bindirmişlerdi	TUR10-0105080
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Taşı	TUR10-0749580
suya	TUR10-0017280
atmak	TUR10-0056710
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bana	TUR10-0075770
tokat	TUR10-0619010
attı	TUR10-0056780
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Suçu	TUR10-0710610
onun	TUR10-0581470
üzerine	TUR10-0914580
attılar	TUR10-0914580
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120750
lüzumsuz	TUR10-0094650
eşyayı	TUR10-0256750
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yabancı	TUR10-0104020
cisimleri	TUR10-0141890
vücut	TUR10-0236430
atar	TUR10-0056880
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Pamuğu	TUR10-1116080
atmak	TUR10-1116080
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Gene	TUR10-0106250
atmaya	TUR10-0821960
başladı	TUR10-0834530
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Buranın	TUR10-0124730
çok	TUR10-1256850
romantik	TUR10-0648720
bir	TUR10-0105580
havası	TUR10-0332330
var	TUR10-0540500
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Aut	TUR10-0057440
çizgisinden	TUR10-0171090
nefis	TUR10-0573360
bir	TUR10-0105580
orta	TUR10-0591510
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Şarkı	TUR10-1156330
söyleyip	TUR10-1156330
para	TUR10-0613410
kazanmaya	TUR10-0435820
bir	TUR10-0105580
çeşit	TUR10-0160490
avanta	TUR10-0057620
gözüyle	TUR10-1039060
bakıyordu	TUR10-1039060
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yıldız	TUR10-0854720
avcısı	TUR10-0057950
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
O	TUR10-0581460
günlerde	TUR10-0314960
avize	TUR10-0058160
filan	TUR10-0273380
gibi	TUR10-0297510
şeyleri	TUR10-0729470
görmek	TUR10-0672700
değil	TUR10-0187890
duymamıştık	TUR10-0227370
bile	TUR10-0178920
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
O	TUR10-0581460
yıllara	TUR10-1242170
göre	TUR10-0571870
hayli	TUR10-0335750
Avrupai	TUR10-0058400
sayılacak	TUR10-0671310
bir	TUR10-0105580
yaşam	TUR10-0209050
tarzı	TUR10-0332340
sergiliyordu	TUR10-1160490
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Behire	TUR10-0000000
,	TUR10-0820240
avucuna	TUR10-0058490
topladığı	TUR10-0968180
zeytin	TUR10-0873590
çekirdeklerini	TUR10-0156760
yukarı	TUR10-0861980
,	TUR10-0820240
havaya	TUR10-0332290
fırlatıyor	TUR10-0056710
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kapının	TUR10-0412920
sarı	TUR10-0665800
tokmağını	TUR10-0779210
avuçlayıp	TUR10-0058560
çeviriyor	TUR10-0161240
,	TUR10-0820240
kolaycacık	TUR10-0468110
açılıyor	TUR10-0005820
kapı	TUR10-0412920
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İnsanoğlu	TUR10-0932620
durumu	TUR10-1013880
bozulunca	TUR10-1013880
ille	TUR10-0369840
bir	TUR10-0105580
yerden	TUR10-0849760
bunun	TUR10-0120760
avuntusunu	TUR10-0058700
arayıp	TUR10-0042580
buluyor	TUR10-0123550
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Dün	TUR10-0229170
,	TUR10-0820240
hırçınlık	TUR10-0341720
anımızda	TUR10-0505830
bizi	TUR10-0110290
avutmaya	TUR10-0058840
bir	TUR10-0105570
şeker	TUR10-0726960
yeterdi	TUR10-0185940
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Mart	TUR10-0526960
ayı	TUR10-0465840
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Elimde	TUR10-0240810
hiçbir	TUR10-0343540
çare	TUR10-0032110
yok	TUR10-0858030
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ayağına	TUR10-0059060
bir	TUR10-0105580
pantolon	TUR10-0612810
çekti	TUR10-0879880
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Mânicilerin	TUR10-0523910
kafa	TUR10-1193320
yormadan	TUR10-1193320
buldukları	TUR10-0123620
ayaklar	TUR10-0396210
Cenap'ı	TUR10-0000000
şaşkınlıktan	TUR10-0663400
şaşkınlığa	TUR10-0663400
sürükler	TUR10-0718150
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Burası	TUR10-0124730
o	TUR10-0583380
kadar	TUR10-0583380
ayakaltı	TUR10-0059190
ki	TUR10-0459850
değme	TUR10-0187990
polis	TUR10-0186700
hafiyesinin	TUR10-0186700
aklına	TUR10-0018080
gelmezdi	TUR10-0927620
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Çerçiler	TUR10-0059280
bağıra	TUR10-0133220
bağıra	TUR10-0133220
bilezik	TUR10-0102830
,	TUR10-0820240
kurdele	TUR10-0492340
,	TUR10-0820240
sakız	TUR10-0658250
,	TUR10-0820240
kına	TUR10-0448990
vesaire	TUR10-0818610
satıyorlardı	TUR10-0668610
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Karda	TUR10-0415040
ayak	TUR10-0059030
izleri	TUR10-0389610
var	TUR10-0540500
Vurulup	TUR10-0835350
düştükleri	TUR10-0864500
yere	TUR10-0849870
kadar	TUR10-0187930
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Oysa	TUR10-0581450
bir	TUR10-0108540
türlü	TUR10-0160520
yerleşemediğim	TUR10-0849750
gibi	TUR10-0297530
sanki	TUR10-0663530
her	TUR10-0339330
an	TUR10-0505830
yeniden	TUR10-0106250
ayaklanacakmış	TUR10-0059540
gibi	TUR10-0297530
yaşıyorum	TUR10-0364610
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ayaklı	TUR10-0059570
kadeh	TUR10-0130700
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ayaklı	TUR10-0059660
ansiklopedi	TUR10-0059660
!	TUR10-0808050
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kahvelerimizi	TUR10-0399530
ayakta	TUR10-0059760
içtik	TUR10-0359840
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Makasçı	TUR10-0520270
,	TUR10-0820240
ayaküstü	TUR10-0059940
bana	TUR10-0075770
gayet	TUR10-0621150
basit	TUR10-0829070
kelimelerle	TUR10-0829070
bir	TUR10-0105580
dram	TUR10-0223850
anlattı	TUR10-0038230
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Soldan	TUR10-0700640
dört	TUR10-0222300
ayak	TUR10-0059030
üzerinde	TUR10-0811700
,	TUR10-0820240
yalın	TUR10-0059950
ayak	TUR10-0059030
,	TUR10-0820240
başı	TUR10-0397540
kabak	TUR10-0082040
bir	TUR10-0105580
adam	TUR10-0339670
görülür	TUR10-0672700
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Saatin	TUR10-0651620
ayarı	TUR10-0651620
bozuk	TUR10-0060080
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kalorifercinin	TUR10-0405350
ayarı	TUR10-0060050
yok	TUR10-0858030
,	TUR10-0820240
ya	TUR10-0822490
çok	TUR10-0172500
yakıyor	TUR10-0827400
veya	TUR10-0818910
hiç	TUR10-0343500
yakmıyor	TUR10-0827400
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Derken	TUR10-0196760
kamerayı	TUR10-0406940
bir	TUR10-0968370
başka	TUR10-0968370
sahneye	TUR10-0334160
ayarladık	TUR10-0060120
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ayarsız	TUR10-0060240
insan	TUR10-0932620
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Sürüp	TUR10-0019950
gider	TUR10-0019950
en	TUR10-0246710
sert	TUR10-0679980
ayazlarda	TUR10-0060370
bile	TUR10-0810040
Bir	TUR10-0105580
tatlı	TUR10-0751500
sıcak	TUR10-0683780
kış	TUR10-0454930
vakti	TUR10-0281830
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Aydın	TUR10-0060720
bir	TUR10-0105580
oda	TUR10-0582130
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Aydınlık	TUR10-0060720
bir	TUR10-0105580
oda	TUR10-0582130
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Aydınlık	TUR10-0060940
bir	TUR10-0105580
yüz	TUR10-0867380
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Fani	TUR10-0264180
bir	TUR10-0105580
iz	TUR10-0850370
bırakmış	TUR10-0850370
yatmışsa	TUR10-0841470
kimler	TUR10-0461150
Aygın	TUR10-0040640
baygın	TUR10-0061000
mâniler	TUR10-0523870
,	TUR10-0820240
açık	TUR10-0918570
saçık	TUR10-0653370
resimler	TUR10-0510390
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Sindirim	TUR10-0694130
aygıtı	TUR10-0694130
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Tepsiye	TUR10-0766340
üç	TUR10-0806010
ölçü	TUR10-0149930
pirinç	TUR10-0628550
koydu	TUR10-0105100
,	TUR10-0820240
pencere	TUR10-0622420
ışığında	TUR10-0355480
ayıklamaya	TUR10-0061240
başladı	TUR10-0082730
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Sarhoşluğun	TUR10-0254640
ayıltısı	TUR10-0061400
içindeydi	TUR10-0357950
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Elmayı	TUR10-0244260
ayırmak	TUR10-0061640
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Karıyı	TUR10-0420390
kocasından	TUR10-0420390
ayırdılar	TUR10-0061700
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Neşemden	TUR10-0087050
duramıyor	TUR10-1171020
,	TUR10-0820240
öbür	TUR10-0203010
mümeyyizlerle	TUR10-0061800
konuşuyor	TUR10-0807290
,	TUR10-0820240
gülüyordum	TUR10-0313690
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Burası	TUR10-0124730
Ankara'ya	TUR10-0936750
iki	TUR10-0364800
günöte	TUR10-0259380
,	TUR10-0820240
ana	TUR10-1212990
yollardan	TUR10-1212990
aykırı	TUR10-0061940
küçük	TUR10-0143230
bir	TUR10-0105580
kasabaydı	TUR10-0424500
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Üzerlerinde	TUR10-0811870
kırmızı	TUR10-0475250
